id,loan_status,aproval_prob
59028,0,0.023
59029,0,0.014
59030,0,0.0115
59031,0,0.4554
59032,1,0.5286
59033,0,0.1059
59034,0,0.0705
59035,0,0.009
59036,0,0.0555
59037,0,0.0841
59038,0,0.0088
59039,0,0.0245
59040,0,0.0181
59041,0,0.0196
59042,0,0.0636
59043,1,0.9692
59044,0,0.0074
59045,0,0.0291
59046,0,0.2685
59047,0,0.1873
59048,0,0.0095
59049,0,0.0369
59050,0,0.011
59051,0,0.0376
59052,0,0.0056
59053,0,0.0271
59054,0,0.0449
59055,0,0.0451
59056,0,0.006
59057,1,0.9133
59058,0,0.0127
59059,0,0.2276
59060,0,0.0036
59061,0,0.0057
59062,0,0.019
59063,0,0.0017
59064,0,0.0189
59065,0,0.0018
59066,0,0.048
59067,0,0.0067
59068,0,0.0192
59069,0,0.017
59070,0,0.0092
59071,0,0.0481
59072,0,0.0162
59073,1,0.9538
59074,0,0.0489
59075,0,0.0362
59076,0,0.0381
59077,1,0.9867
59078,0,0.0765
59079,0,0.0373
59080,0,0.0107
59081,0,0.0176
59082,0,0.0342
59083,0,0.0059
59084,0,0.0024
59085,0,0.0369
59086,0,0.0795
59087,0,0.0367
59088,0,0.0449
59089,0,0.0378
59090,0,0.0544
59091,0,0.0018
59092,0,0.0866
59093,0,0.0165
59094,0,0.0095
59095,0,0.0015
59096,1,0.9612
59097,0,0.0828
59098,0,0.0277
59099,0,0.0121
59100,0,0.006
59101,0,0.0082
59102,0,0.0196
59103,0,0.0392
59104,0,0.0015
59105,0,0.0404
59106,0,0.0025
59107,0,0.0865
59108,0,0.0429
59109,0,0.0386
59110,0,0.0161
59111,0,0.0106
59112,0,0.0186
59113,1,0.9735
59114,0,0.0553
59115,0,0.1025
59116,0,0.0023
59117,0,0.0116
59118,0,0.0547
59119,0,0.0173
59120,0,0.0046
59121,0,0.0045
59122,0,0.0763
59123,1,0.9763
59124,1,0.9151
59125,0,0.0449
59126,1,0.9109
59127,0,0.0127
59128,0,0.0199
59129,0,0.0127
59130,0,0.0125
59131,0,0.0372
59132,0,0.1978
59133,1,0.6566
59134,0,0.0349
59135,0,0.0009
59136,0,0.0105
59137,0,0.0214
59138,0,0.017
59139,0,0.006
59140,0,0.0381
59141,1,0.984
59142,0,0.2876
59143,0,0.0364
59144,0,0.0114
59145,0,0.0498
59146,0,0.1512
59147,0,0.0284
59148,0,0.0185
59149,0,0.0218
59150,0,0.0127
59151,0,0.0308
59152,0,0.0412
59153,0,0.0025
59154,0,0.0616
59155,0,0.1135
59156,0,0.1109
59157,0,0.0092
59158,0,0.0426
59159,0,0.013
59160,0,0.042
59161,0,0.0075
59162,0,0.0124
59163,0,0.0199
59164,0,0.0248
59165,0,0.1308
59166,0,0.0045
59167,0,0.0532
59168,0,0.162
59169,1,0.9447
59170,0,0.0156
59171,0,0.0062
59172,0,0.2208
59173,0,0.0041
59174,0,0.0066
59175,0,0.0076
59176,0,0.0309
59177,0,0.0119
59178,0,0.0055
59179,0,0.0085
59180,0,0.1082
59181,0,0.1753
59182,1,0.9738
59183,0,0.0176
59184,0,0.0557
59185,0,0.0845
59186,0,0.0195
59187,0,0.0076
59188,0,0.0258
59189,0,0.0293
59190,0,0.0047
59191,0,0.0564
59192,0,0.1971
59193,0,0.0067
59194,0,0.1387
59195,0,0.0226
59196,0,0.0318
59197,0,0.0343
59198,0,0.1042
59199,0,0.002
59200,1,0.9932
59201,0,0.0068
59202,0,0.038
59203,0,0.4492
59204,0,0.0162
59205,0,0.0126
59206,0,0.0046
59207,0,0.0173
59208,0,0.0084
59209,0,0.0048
59210,0,0.0197
59211,0,0.0299
59212,0,0.0304
59213,0,0.1224
59214,0,0.1628
59215,0,0.011
59216,0,0.0329
59217,0,0.0059
59218,0,0.0039
59219,0,0.0102
59220,1,0.8072
59221,1,0.8991
59222,0,0.0243
59223,0,0.0161
59224,0,0.4055
59225,0,0.0065
59226,0,0.0064
59227,0,0.0937
59228,0,0.2488
59229,0,0.0019
59230,0,0.0062
59231,0,0.0076
59232,0,0.0757
59233,0,0.0149
59234,0,0.0413
59235,0,0.0069
59236,0,0.1671
59237,0,0.0303
59238,0,0.0061
59239,0,0.4326
59240,0,0.0089
59241,0,0.0254
59242,0,0.0432
59243,1,0.9849
59244,0,0.0163
59245,1,0.9188
59246,0,0.015
59247,0,0.0206
59248,0,0.0075
59249,0,0.1305
59250,0,0.279
59251,0,0.0431
59252,0,0.0172
59253,0,0.04
59254,0,0.0264
59255,0,0.0062
59256,0,0.0025
59257,1,0.9883
59258,0,0.0113
59259,1,0.9872
59260,0,0.0141
59261,0,0.0234
59262,0,0.0603
59263,0,0.0011
59264,0,0.0425
59265,0,0.4624
59266,0,0.0373
59267,0,0.1401
59268,0,0.0259
59269,0,0.006
59270,1,0.9847
59271,0,0.0055
59272,1,0.9736
59273,0,0.0264
59274,0,0.1748
59275,0,0.0136
59276,0,0.0448
59277,0,0.0071
59278,0,0.0549
59279,0,0.006
59280,0,0.0102
59281,0,0.0445
59282,0,0.0096
59283,0,0.0172
59284,0,0.0041
59285,0,0.0317
59286,0,0.0441
59287,0,0.0329
59288,1,0.9606
59289,0,0.0144
59290,0,0.0408
59291,0,0.046
59292,0,0.0008
59293,0,0.0203
59294,1,0.9751
59295,0,0.2929
59296,0,0.0045
59297,0,0.0161
59298,0,0.0258
59299,0,0.0199
59300,0,0.0786
59301,0,0.0175
59302,0,0.0256
59303,0,0.0627
59304,0,0.0313
59305,0,0.1664
59306,0,0.0214
59307,0,0.0169
59308,0,0.0094
59309,0,0.0142
59310,0,0.0067
59311,0,0.0677
59312,0,0.0387
59313,1,0.9433
59314,0,0.2948
59315,0,0.0076
59316,0,0.243
59317,0,0.0371
59318,0,0.0107
59319,0,0.0569
59320,0,0.0126
59321,0,0.0581
59322,0,0.0717
59323,0,0.0385
59324,1,0.8505
59325,0,0.0348
59326,0,0.0161
59327,0,0.0421
59328,0,0.0177
59329,0,0.0193
59330,0,0.0638
59331,0,0.0449
59332,0,0.0157
59333,0,0.004
59334,0,0.0409
59335,0,0.0162
59336,0,0.0442
59337,0,0.011
59338,0,0.069
59339,0,0.235
59340,1,0.5568
59341,0,0.0729
59342,0,0.0676
59343,0,0.0049
59344,0,0.0646
59345,0,0.0179
59346,0,0.0085
59347,0,0.0854
59348,0,0.0097
59349,0,0.0355
59350,0,0.0146
59351,0,0.0509
59352,0,0.0744
59353,1,0.9436
59354,1,0.9292
59355,0,0.0012
59356,0,0.0067
59357,0,0.0086
59358,0,0.0325
59359,0,0.0382
59360,1,0.9776
59361,0,0.0081
59362,0,0.1763
59363,0,0.0021
59364,0,0.0043
59365,0,0.0066
59366,0,0.0117
59367,0,0.0448
59368,1,0.9419
59369,0,0.0341
59370,0,0.0068
59371,0,0.0265
59372,0,0.3054
59373,0,0.0373
59374,0,0.0092
59375,1,0.9645
59376,1,0.7219
59377,0,0.0206
59378,0,0.1098
59379,0,0.0212
59380,0,0.0519
59381,0,0.0108
59382,0,0.0857
59383,1,0.9654
59384,0,0.0284
59385,0,0.0114
59386,0,0.0795
59387,1,0.9849
59388,0,0.1632
59389,0,0.0606
59390,0,0.0604
59391,0,0.0699
59392,0,0.3031
59393,1,0.9462
59394,1,0.9334
59395,0,0.1028
59396,0,0.0216
59397,0,0.0151
59398,0,0.0082
59399,0,0.0211
59400,0,0.027
59401,0,0.0294
59402,0,0.0847
59403,0,0.0171
59404,0,0.0228
59405,0,0.004
59406,0,0.0337
59407,0,0.0339
59408,0,0.0785
59409,0,0.0223
59410,0,0.0073
59411,0,0.0098
59412,0,0.0195
59413,0,0.0014
59414,0,0.0583
59415,0,0.0186
59416,0,0.0052
59417,0,0.0047
59418,0,0.0108
59419,0,0.0017
59420,0,0.1483
59421,0,0.1802
59422,0,0.0499
59423,0,0.0525
59424,1,0.9442
59425,0,0.1063
59426,0,0.0093
59427,0,0.012
59428,0,0.0908
59429,0,0.0078
59430,0,0.005
59431,0,0.0203
59432,0,0.006
59433,0,0.0279
59434,0,0.0061
59435,0,0.0024
59436,0,0.0024
59437,0,0.0129
59438,1,0.5973
59439,0,0.0314
59440,0,0.004
59441,0,0.0161
59442,0,0.0026
59443,0,0.0071
59444,0,0.0649
59445,0,0.0746
59446,0,0.0429
59447,0,0.0107
59448,0,0.0098
59449,0,0.0284
59450,0,0.0261
59451,1,0.9716
59452,0,0.039
59453,0,0.0192
59454,0,0.0606
59455,0,0.0302
59456,0,0.0213
59457,1,0.9519
59458,0,0.0697
59459,0,0.2079
59460,0,0.074
59461,0,0.0068
59462,1,0.8467
59463,0,0.0052
59464,0,0.3552
59465,0,0.0582
59466,0,0.11
59467,0,0.0297
59468,0,0.0015
59469,0,0.0171
59470,0,0.0103
59471,0,0.0074
59472,0,0.0888
59473,0,0.007
59474,0,0.0147
59475,0,0.0793
59476,0,0.025
59477,0,0.0299
59478,0,0.0156
59479,0,0.0223
59480,0,0.0087
59481,0,0.1011
59482,1,0.9639
59483,0,0.0069
59484,0,0.0042
59485,0,0.018
59486,0,0.0893
59487,0,0.0203
59488,0,0.0282
59489,0,0.019
59490,0,0.0149
59491,1,0.9833
59492,0,0.0075
59493,0,0.0142
59494,0,0.0072
59495,1,0.9078
59496,0,0.0142
59497,1,0.9609
59498,0,0.0392
59499,0,0.0792
59500,1,0.9832
59501,0,0.0203
59502,1,0.9262
59503,0,0.1892
59504,0,0.0074
59505,0,0.0496
59506,0,0.0034
59507,0,0.0053
59508,0,0.0323
59509,0,0.038
59510,0,0.0565
59511,0,0.0035
59512,0,0.0061
59513,0,0.1749
59514,0,0.019
59515,0,0.0161
59516,0,0.0242
59517,1,0.7402
59518,0,0.0068
59519,0,0.0052
59520,0,0.0174
59521,0,0.0257
59522,0,0.0659
59523,0,0.0061
59524,0,0.011
59525,1,0.8559
59526,0,0.1841
59527,0,0.015
59528,0,0.0631
59529,0,0.0353
59530,1,0.9298
59531,0,0.0121
59532,0,0.0008
59533,0,0.0443
59534,0,0.0268
59535,0,0.0218
59536,0,0.04
59537,0,0.0118
59538,0,0.0748
59539,0,0.0256
59540,1,0.8286
59541,0,0.0204
59542,0,0.0398
59543,0,0.0299
59544,0,0.0561
59545,0,0.0558
59546,0,0.0232
59547,0,0.0195
59548,0,0.0064
59549,0,0.0279
59550,0,0.0098
59551,0,0.0275
59552,0,0.0074
59553,0,0.0173
59554,1,0.931
59555,0,0.0155
59556,0,0.0085
59557,0,0.004
59558,0,0.0327
59559,0,0.0167
59560,0,0.0065
59561,0,0.0064
59562,0,0.0758
59563,0,0.0272
59564,0,0.1862
59565,0,0.0167
59566,0,0.0205
59567,0,0.0136
59568,0,0.0069
59569,0,0.0045
59570,0,0.0452
59571,0,0.0679
59572,0,0.0253
59573,0,0.0229
59574,1,0.9357
59575,0,0.0345
59576,0,0.0149
59577,0,0.0583
59578,1,0.8039
59579,0,0.0088
59580,0,0.0194
59581,0,0.0124
59582,0,0.0189
59583,0,0.0202
59584,0,0.0054
59585,0,0.0169
59586,0,0.0087
59587,0,0.0071
59588,0,0.1351
59589,0,0.1305
59590,0,0.0049
59591,0,0.3068
59592,0,0.0352
59593,0,0.0103
59594,0,0.1732
59595,0,0.0142
59596,0,0.071
59597,1,0.939
59598,0,0.0313
59599,0,0.0807
59600,1,0.9317
59601,0,0.002
59602,0,0.1057
59603,0,0.0508
59604,0,0.0215
59605,0,0.0021
59606,0,0.0708
59607,0,0.0535
59608,0,0.0165
59609,0,0.0102
59610,1,0.9582
59611,0,0.0069
59612,1,0.9645
59613,0,0.0456
59614,0,0.3547
59615,0,0.0497
59616,0,0.0463
59617,0,0.0505
59618,0,0.0981
59619,0,0.0096
59620,0,0.0114
59621,0,0.0413
59622,0,0.015
59623,0,0.0551
59624,0,0.0773
59625,0,0.0182
59626,0,0.0208
59627,0,0.0599
59628,0,0.0049
59629,0,0.0021
59630,0,0.0476
59631,0,0.0035
59632,0,0.0136
59633,0,0.0119
59634,0,0.0054
59635,0,0.0095
59636,0,0.0686
59637,0,0.0658
59638,1,0.9798
59639,0,0.0159
59640,0,0.0144
59641,0,0.015
59642,0,0.0071
59643,0,0.0938
59644,0,0.0354
59645,0,0.2124
59646,0,0.0105
59647,1,0.9584
59648,0,0.0068
59649,0,0.0159
59650,0,0.0041
59651,0,0.0039
59652,0,0.0234
59653,0,0.0064
59654,0,0.0784
59655,0,0.0258
59656,0,0.1323
59657,1,0.9046
59658,0,0.0043
59659,0,0.0305
59660,0,0.1397
59661,0,0.0616
59662,1,0.9532
59663,0,0.0682
59664,0,0.0565
59665,0,0.0215
59666,0,0.0268
59667,0,0.0151
59668,0,0.025
59669,0,0.0115
59670,0,0.0743
59671,0,0.0062
59672,0,0.0116
59673,0,0.0225
59674,1,0.5495
59675,0,0.0013
59676,0,0.1201
59677,1,0.9334
59678,0,0.0071
59679,0,0.0222
59680,0,0.0048
59681,0,0.0222
59682,0,0.0378
59683,0,0.0075
59684,0,0.024
59685,0,0.022
59686,0,0.4474
59687,0,0.0172
59688,0,0.0188
59689,0,0.1884
59690,0,0.0021
59691,0,0.0069
59692,0,0.0724
59693,0,0.0182
59694,0,0.1107
59695,0,0.0075
59696,1,0.9127
59697,0,0.0058
59698,0,0.0208
59699,0,0.0172
59700,0,0.0521
59701,0,0.0099
59702,0,0.0176
59703,0,0.0254
59704,0,0.0087
59705,0,0.095
59706,0,0.0323
59707,0,0.0968
59708,0,0.0605
59709,0,0.0439
59710,0,0.0322
59711,0,0.0406
59712,0,0.0112
59713,0,0.0654
59714,1,0.965
59715,1,0.8477
59716,0,0.0354
59717,0,0.0066
59718,0,0.0355
59719,1,0.9504
59720,0,0.0154
59721,1,0.8142
59722,0,0.0199
59723,0,0.0087
59724,0,0.1187
59725,0,0.0196
59726,0,0.0063
59727,0,0.0616
59728,0,0.0064
59729,0,0.0028
59730,0,0.0841
59731,0,0.0184
59732,0,0.0206
59733,0,0.0124
59734,0,0.0418
59735,0,0.0052
59736,0,0.1532
59737,0,0.0096
59738,0,0.1801
59739,0,0.0215
59740,0,0.0191
59741,0,0.009
59742,0,0.1743
59743,0,0.0127
59744,0,0.0889
59745,0,0.0195
59746,0,0.0319
59747,1,0.9853
59748,0,0.0723
59749,0,0.0208
59750,0,0.1208
59751,0,0.0093
59752,0,0.0323
59753,0,0.0078
59754,0,0.0074
59755,0,0.0821
59756,0,0.0103
59757,0,0.0097
59758,0,0.048
59759,0,0.0143
59760,0,0.0233
59761,0,0.0168
59762,0,0.2149
59763,0,0.0017
59764,0,0.1498
59765,0,0.0141
59766,0,0.1659
59767,0,0.0354
59768,0,0.0072
59769,0,0.0185
59770,0,0.0452
59771,0,0.0058
59772,0,0.0147
59773,0,0.0442
59774,0,0.0455
59775,0,0.1272
59776,0,0.1487
59777,0,0.1114
59778,0,0.0069
59779,0,0.028
59780,0,0.0022
59781,0,0.0262
59782,0,0.0351
59783,0,0.0231
59784,0,0.028
59785,0,0.0068
59786,0,0.2913
59787,0,0.3702
59788,0,0.0282
59789,0,0.0341
59790,0,0.023
59791,0,0.0035
59792,0,0.0102
59793,0,0.0349
59794,1,0.969
59795,1,0.9434
59796,0,0.0043
59797,0,0.0197
59798,0,0.0074
59799,0,0.0034
59800,0,0.0375
59801,0,0.0196
59802,0,0.1016
59803,0,0.1138
59804,0,0.0668
59805,0,0.0014
59806,0,0.0207
59807,0,0.0092
59808,0,0.004
59809,0,0.0128
59810,0,0.0083
59811,0,0.0195
59812,0,0.0099
59813,0,0.0067
59814,0,0.0049
59815,0,0.2562
59816,0,0.1924
59817,0,0.0024
59818,1,0.8908
59819,0,0.1661
59820,0,0.0224
59821,0,0.0569
59822,0,0.02
59823,0,0.0334
59824,0,0.0328
59825,0,0.0116
59826,0,0.0297
59827,0,0.1543
59828,0,0.0948
59829,0,0.0556
59830,0,0.0218
59831,0,0.0121
59832,0,0.0522
59833,0,0.1142
59834,0,0.0179
59835,0,0.0082
59836,0,0.0289
59837,0,0.0724
59838,0,0.0982
59839,0,0.0584
59840,0,0.0502
59841,1,0.9772
59842,0,0.0112
59843,0,0.0311
59844,0,0.1637
59845,0,0.049
59846,0,0.0047
59847,0,0.0076
59848,0,0.0119
59849,0,0.0019
59850,1,0.9823
59851,0,0.0015
59852,0,0.0132
59853,0,0.0875
59854,0,0.0053
59855,0,0.0132
59856,0,0.0058
59857,0,0.1159
59858,1,0.9595
59859,0,0.0653
59860,1,0.9376
59861,0,0.007
59862,0,0.0141
59863,0,0.0047
59864,0,0.0139
59865,0,0.0294
59866,0,0.0473
59867,0,0.0696
59868,0,0.026
59869,0,0.0257
59870,0,0.0022
59871,0,0.0149
59872,0,0.0226
59873,0,0.0066
59874,0,0.0756
59875,0,0.0961
59876,0,0.0053
59877,0,0.032
59878,1,0.9869
59879,0,0.0123
59880,1,0.9533
59881,0,0.0017
59882,0,0.0339
59883,0,0.0442
59884,0,0.0384
59885,0,0.0361
59886,0,0.0324
59887,1,0.9084
59888,0,0.0117
59889,0,0.009
59890,0,0.0088
59891,0,0.4387
59892,0,0.014
59893,0,0.0109
59894,0,0.0307
59895,0,0.1568
59896,0,0.0061
59897,0,0.0095
59898,0,0.0118
59899,0,0.0163
59900,0,0.0148
59901,1,0.8016
59902,0,0.0224
59903,0,0.0272
59904,0,0.1487
59905,0,0.028
59906,0,0.14
59907,0,0.0294
59908,0,0.0111
59909,0,0.0131
59910,0,0.0682
59911,0,0.024
59912,0,0.0219
59913,0,0.0024
59914,0,0.1092
59915,0,0.0127
59916,0,0.0059
59917,0,0.0043
59918,0,0.0052
59919,0,0.0257
59920,0,0.0653
59921,0,0.1682
59922,0,0.0512
59923,0,0.0795
59924,0,0.0059
59925,1,0.965
59926,0,0.0222
59927,0,0.0248
59928,0,0.0087
59929,0,0.0048
59930,0,0.0156
59931,0,0.0095
59932,0,0.0395
59933,0,0.0188
59934,0,0.011
59935,0,0.007
59936,0,0.0429
59937,0,0.0787
59938,0,0.0637
59939,0,0.2823
59940,1,0.8323
59941,0,0.0012
59942,0,0.0105
59943,0,0.0278
59944,0,0.0157
59945,0,0.0205
59946,0,0.0274
59947,0,0.0073
59948,0,0.0312
59949,1,0.9813
59950,0,0.0142
59951,0,0.0632
59952,0,0.019
59953,0,0.1029
59954,0,0.0348
59955,0,0.0017
59956,0,0.0186
59957,0,0.1471
59958,0,0.0364
59959,0,0.0184
59960,0,0.0065
59961,0,0.0448
59962,0,0.0833
59963,0,0.0122
59964,0,0.0021
59965,0,0.0058
59966,1,0.8921
59967,0,0.014
59968,0,0.0079
59969,0,0.0042
59970,0,0.0983
59971,1,0.9762
59972,1,0.895
59973,0,0.0323
59974,0,0.0114
59975,0,0.0305
59976,0,0.0049
59977,0,0.0888
59978,0,0.1336
59979,0,0.0144
59980,1,0.9732
59981,0,0.0305
59982,1,0.9232
59983,0,0.0907
59984,0,0.0104
59985,0,0.0528
59986,0,0.0354
59987,0,0.0139
59988,0,0.0704
59989,0,0.0164
59990,0,0.0437
59991,0,0.0866
59992,0,0.0087
59993,0,0.0085
59994,0,0.0987
59995,1,0.968
59996,0,0.0086
59997,0,0.0744
59998,0,0.0629
59999,0,0.0065
60000,0,0.0021
60001,0,0.0099
60002,0,0.1153
60003,0,0.0246
60004,0,0.0095
60005,0,0.0427
60006,0,0.0847
60007,0,0.0317
60008,0,0.0189
60009,0,0.0189
60010,0,0.0887
60011,0,0.0122
60012,0,0.0828
60013,0,0.0054
60014,0,0.0288
60015,0,0.0305
60016,0,0.358
60017,0,0.0294
60018,0,0.0232
60019,1,0.9257
60020,0,0.0398
60021,0,0.0139
60022,0,0.3572
60023,0,0.043
60024,1,0.933
60025,0,0.0257
60026,0,0.1631
60027,1,0.6831
60028,0,0.0066
60029,1,0.976
60030,1,0.8683
60031,0,0.0815
60032,0,0.0442
60033,0,0.0057
60034,0,0.0028
60035,0,0.1303
60036,0,0.0039
60037,0,0.003
60038,0,0.0358
60039,0,0.013
60040,0,0.0389
60041,0,0.0797
60042,0,0.0176
60043,0,0.019
60044,0,0.0585
60045,0,0.0084
60046,0,0.345
60047,0,0.0491
60048,0,0.002
60049,0,0.0544
60050,0,0.0291
60051,1,0.9648
60052,0,0.0192
60053,0,0.0527
60054,0,0.006
